,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,Label
4336,7.525760000000001,100.0,24.9,37.8,11.7,952,958,949,955,0
4337,7.3538,100.0,24.9,37.9,11.5,935,952,961,955,0
4338,7.32027,100.0,24.9,37.9,11.6,942,958,953,954,0
4339,7.359189999999999,100.0,25.0,38.1,11.6,940,957,953,954,0
4340,7.37155,100.0,25.0,38.3,11.6,943,950,963,970,0
4341,7.48677,100.0,25.0,38.3,11.6,943,957,965,968,0
4342,7.462739999999997,100.0,25.0,38.1,11.5,936,953,950,969,0
4343,7.38443,100.0,25.0,38.1,11.6,939,957,946,971,0
4344,7.337510000000001,100.0,25.0,38.1,11.5,958,958,958,969,0
4345,7.428439999999997,100.0,25.0,38.2,11.8,960,956,963,970,0
4346,7.386889999999997,100.0,25.0,38.3,11.5,942,960,939,968,0
4347,7.39876,100.0,25.0,38.4,16.1,948,958,962,966,0
4348,7.52473,100.0,25.0,38.4,11.4,957,959,956,969,0
4349,7.346,100.0,25.0,38.4,11.5,934,962,947,970,0
4350,7.26399,100.0,25.0,38.5,11.5,945,962,943,967,0
4351,7.42646,100.0,25.1,38.0,11.6,938,961,962,969,0
4352,7.43042,100.0,25.1,38.0,11.7,945,963,943,967,0
4353,7.4262,100.0,25.1,38.1,11.5,959,964,970,969,0
4354,7.4638,100.0,25.1,38.1,22.6,963,958,961,965,0
4355,7.362489999999997,100.0,25.1,38.1,11.6,942,958,976,964,0
4356,7.29455,100.0,24.9,38.5,11.6,939,961,948,966,0
4357,7.44625,100.0,24.9,38.5,11.6,963,958,944,968,0
4358,7.4502,100.0,24.9,38.4,11.5,969,960,947,965,0
4359,7.4276,100.0,25.0,38.2,11.5,937,958,958,966,0
4360,7.40602,100.0,25.1,38.1,15.7,942,956,944,957,0
4361,7.43174,100.0,25.1,38.2,11.5,953,955,962,958,0
4362,7.3677199999999985,100.0,25.1,38.2,11.6,954,960,956,957,0
4363,7.3183,100.0,25.1,38.0,11.5,957,958,961,957,0
4364,7.40393,100.0,25.1,37.9,11.5,957,957,950,958,0
4365,7.47911,100.0,25.1,37.9,11.4,948,957,947,958,0
4366,7.41657,100.0,25.1,37.8,11.5,933,959,951,958,0
4367,7.44508,100.0,25.3,37.7,11.6,920,898,885,939,0
4368,7.3948800000000015,100.0,25.3,38.1,11.8,928,901,945,938,0
4369,7.34545,100.0,25.3,38.1,11.4,928,901,948,939,0
4370,7.3662100000000015,100.0,25.3,38.1,11.4,927,899,941,940,0
4371,7.4457,100.0,25.3,38.1,11.4,941,899,950,939,0
4372,7.338489999999997,100.0,25.3,38.0,11.4,924,891,941,938,0
4373,7.3879100000000015,100.0,25.3,37.8,11.4,927,891,933,937,0
4374,7.465889999999999,100.0,25.3,37.6,11.7,919,898,911,941,0
4375,7.4032300000000015,100.0,25.3,37.6,11.4,929,899,900,942,0
4376,7.44361,100.0,25.3,37.6,11.4,924,885,932,939,0
4377,7.36326,100.0,25.3,37.7,11.4,929,894,925,939,0
4378,7.360069999999999,100.0,25.3,37.8,11.6,920,900,933,938,0
4379,7.4262,100.0,25.3,37.6,11.4,927,896,933,940,0
4380,7.34197,100.0,25.3,37.5,11.4,924,896,941,938,0
4381,7.438039999999999,100.0,25.3,37.5,11.6,913,897,931,940,0
4382,7.41367,100.0,25.3,37.5,11.7,900,897,907,938,0
4383,7.337460000000001,100.0,25.3,37.5,11.6,901,897,911,940,0
4384,7.3183,100.0,25.3,37.5,11.4,902,899,916,941,0
4385,7.38611,100.0,25.3,37.4,11.6,904,894,917,938,0
4386,7.45172,100.0,25.3,37.6,11.5,893,869,901,942,0
4387,7.37432,100.0,25.3,37.6,11.4,888,889,906,945,0
4388,7.41228,100.0,25.3,37.8,11.4,899,888,907,936,0
4389,7.40253,100.0,25.3,38.0,11.3,914,888,914,933,0
4390,7.429689999999999,100.0,25.3,38.0,11.4,880,880,821,933,0
